id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,,,,,,,,,,,,,,,,,,,,
0,paragraph-1-1-01-001.md,0.116666667,0.161111111,0.005555556,0.005555556,0.027777778,0.027777778,0.005555556,0.005555556,0.05,0.072222222,0.294444444,0.005555556,0.005555556,0.005555556,0.094444444,0.005555556,0.005555556,0.027777778,0.05,0.027777778,,,,,,,,,,,,,,,,,,,,
1,paragraph-1-1-01-002.md,0.316666667,0.207575758,0.001515152,0.001515152,0.001515152,0.031818182,0.128787879,0.007575758,0.140909091,0.01969697,0.001515152,0.001515152,0.001515152,0.001515152,0.001515152,0.001515152,0.031818182,0.001515152,0.068181818,0.031818182,,,,,,,,,,,,,,,,,,,,
2,paragraph-1-1-01-003.md,0.25952381,0.173809524,0.069047619,0.002380952,0.011904762,0.069047619,0.135714286,0.011904762,0.002380952,0.011904762,0.002380952,0.002380952,0.002380952,0.05,0.002380952,0.002380952,0.011904762,0.011904762,0.164285714,0.002380952,,,,,,,,,,,,,,,,,,,,
3,paragraph-1-1-02-001.md,0.320588235,0.002941176,0.002941176,0.002941176,0.002941176,0.05,0.355882353,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.014705882,0.097058824,0.014705882,0.002941176,0.108823529,0.002941176,,,,,,,,,,,,,,,,,,,,
4,paragraph-1-1-02-002.md,0.238235294,0.05,0.026470588,0.038235294,0.014705882,0.014705882,0.002941176,0.002941176,0.038235294,0.132352941,0.026470588,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.014705882,0.261764706,0.120588235,,,,,,,,,,,,,,,,,,,,
5,paragraph-1-1-03-001.md,0.21097561,0.025609756,0.05,0.030487805,0.020731707,0.015853659,0.196341463,0.001219512,0.01097561,0.01097561,0.01097561,0.001219512,0.006097561,0.01097561,0.025609756,0.103658537,0.001219512,0.030487805,0.215853659,0.020731707,,,,,,,,,,,,,,,,,,,,
6,paragraph-1-1-03-002.md,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,,,,,,,,,,,,,,,,,,,,
7,paragraph-1-1-04-001.md,0.21,0.05,0.01,0.09,0.01,0.01,0.01,0.01,0.37,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.05,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,
8,paragraph-1-1-04-002.md,0.308823529,0.002941176,0.061764706,0.002941176,0.002941176,0.002941176,0.061764706,0.002941176,0.002941176,0.002941176,0.238235294,0.002941176,0.002941176,0.002941176,0.026470588,0.085294118,0.002941176,0.05,0.120588235,0.014705882,,,,,,,,,,,,,,,,,,,,
9,paragraph-1-1-04-003.md,0.243939394,0.007575758,0.013636364,0.043939394,0.001515152,0.001515152,0.068181818,0.062121212,0.001515152,0.001515152,0.031818182,0.001515152,0.001515152,0.001515152,0.171212121,0.001515152,0.001515152,0.013636364,0.189393939,0.140909091,,,,,,,,,,,,,,,,,,,,
