id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
0,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/04-04-34-the_election_of_the_community.txt,0.007424119,7.29E-04,1.98E-04,0.026391808,8.87E-06,0.171847641,0.050279207,0.064872146,9.98E-06,0.018695684,0.007112946,0.082936401,0.01159145,0.004326446,8.31E-04,5.83E-04,0.003577336,0.458280007,1.33E-05,7.74E-06,6.19E-06,9.94E-06,0.003394559,1.17E-04,0.023262389,0.00109252,0.059389223,0.002491148,3.33E-04,1.88E-04
1,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/04-05-35-the_election_of_the_individual.txt,0.02281135,0.001026723,8.94E-04,0.021106107,7.91E-04,0.168909132,0.05406417,0.079767811,0.00487671,0.014311781,0.008734802,0.123885633,0.308896397,0.007390343,1.75E-06,4.36E-04,0.008788462,0.037228915,0.002423262,0.00247914,0.009235209,0.001812507,0.006174478,0.00684023,0.022167207,1.84E-04,0.066953416,0.008882954,0.003756509,0.005170513
2,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/04-06-36-ethics_as_a_task_of_the_doctrine_of_god.txt,4.81E-04,6.95E-04,0.118024332,0.007369363,0.004679585,0.150014348,0.020763752,0.213234629,0.00169225,8.45E-04,0.003178615,0.010979377,0.001015832,2.75E-05,0.002779104,0.007001503,0.013561167,0.008236183,0.00214562,2.38E-05,1.91E-05,0.002356738,0.002696971,2.68E-05,0.033291603,0.343090937,0.048478308,5.80E-04,0.002353498,3.58E-04
3,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/04-07-37-the_command_as_the_claim_of_god.txt,0.019716785,6.47E-04,0.005024924,0.038620423,0.006962656,0.177290357,0.097190103,0.076091558,0.006332746,0.013071487,3.27E-04,0.212826284,9.81E-06,0.002426146,6.94E-04,0.003687205,4.84E-04,0.009151052,0.001744033,3.57E-04,9.88E-06,7.33E-05,7.74E-05,3.01E-04,0.047694906,0.224325504,0.042877064,1.29E-04,0.001679526,0.010177838
4,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/04-08-38-the_command_as_the_decision_of_god.txt,0.004167949,0.003852115,0.013551773,0.011766895,0.001752402,0.169643372,0.030249009,0.11167461,0.005102618,0.019451151,0.014230151,0.082431427,5.23E-05,9.04E-04,7.18E-04,1.88E-04,0.009485154,0.024127479,0.004838861,1.44E-04,8.56E-04,5.70E-05,0.021448094,0.005324284,0.092988345,0.300518734,0.064550141,3.68E-04,0.001350563,0.004207708
5,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/04-09-39-the_command_as_the_judgment_of_god.txt,0.027352221,3.02E-05,3.91E-04,0.263163332,2.75E-05,0.22088538,0.095369914,0.089415909,0.022550865,5.16E-04,6.35E-04,0.048509291,3.53E-04,1.39E-04,9.95E-06,8.04E-04,4.77E-05,0.009961713,0.002493949,2.40E-05,8.00E-04,1.42E-04,3.88E-05,2.70E-05,0.03417578,0.13872792,0.036082498,0.002590745,2.75E-05,0.004708576
7,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/05-02-40-faith_in_god_the_creator.txt,0.021236238,0.007131447,0.053859089,0.003715697,3.49E-04,0.149502792,0.01080958,0.095885271,0.103765779,0.006200977,0.027730636,0.080720321,0.004107551,0.148528388,9.61E-06,0.026279234,4.60E-05,0.016717716,4.70E-04,0.055980286,0.012178439,0.037800795,0.002942892,1.34E-04,0.022119299,0.00133063,0.103375843,7.79E-04,2.66E-05,0.006266673
8,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/05-03-41-creation_and_covenant.txt,0.003828028,0.009147206,0.016694858,0.005444229,0.004844134,0.171298852,0.044283793,0.066489181,0.002024562,0.025679988,0.009880189,0.044177219,0.002328272,0.402815922,0.01085983,0.002939339,2.39E-04,0.006880775,0.001066524,0.01020753,0.005162849,0.008711192,6.74E-04,3.51E-06,0.03118813,6.16E-04,0.102620455,0.004306179,3.59E-06,0.005585314
9,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/05-04-42-the_yes_of_god_the_creator.txt,1.23E-04,0.00920116,0.044333606,0.004017535,2.23E-04,0.18748155,0.043858427,0.131086563,0.00237691,0.017671672,0.021980146,0.013917913,2.71E-04,0.008989975,0.002839507,0.303231723,1.80E-04,0.003063434,0.006896503,7.46E-04,9.04E-06,0.008361472,1.83E-05,2.75E-04,0.086018466,0.001699071,0.098098105,0.002322376,6.55E-05,6.42E-04
11,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/06-02-43-man_as_a_problem_of_dogmatics.txt,0.012128553,0.00964745,0.31154301,0.047978159,3.89E-04,0.174059175,0.055302526,0.13792789,2.54E-05,0.003173126,0.016376359,0.016048634,0.002490028,0.00918714,2.83E-04,0.018347832,3.14E-04,0.009288531,3.39E-05,0.043092243,1.58E-05,0.004057636,0.00122324,2.05E-04,0.035699873,2.17E-04,0.0822643,0.008178148,2.06E-04,2.96E-04
