id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19
1,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-02-01-the_task_of_dogmatics.txt,0.118073245,4.11E-04,0.01985506,4.63E-05,3.96E-05,0.002181959,4.66E-05,0.005135961,0.267992431,0.017800606,0.120003557,0.045697844,0.00217154,0.198647618,0.169399766,2.33E-04,0.016095744,0.002298473,0.007042378,0.006827436
2,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-03-02-the_task_of_prolegomena_to_dogmatics.txt,0.236979374,3.06E-04,0.026028607,6.37E-05,0.005504124,6.67E-04,0.007589726,0.007587528,0.166938909,0.005035855,0.204603047,0.005542753,0.001172122,0.277806328,0.042146932,0.001358811,0.01021509,4.93E-05,3.50E-04,5.43E-05
3,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-04-03-church_proclamation_as_the_material_of_dogmatics.txt,0.162182048,0.006310095,0.045663102,2.81E-05,0.001853758,0.002809996,2.83E-05,0.002543153,0.062816667,0.054937968,0.151802674,0.028516064,9.74E-04,0.347821583,0.076095007,0.001170585,0.010905579,2.17E-05,0.036977402,0.006542319
4,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-05-04-the_word_of_god_in_its_threefold_form.txt,0.092372152,0.003501208,0.066976129,2.85E-05,3.72E-04,0.009695682,0.001536874,0.001535891,0.060595205,0.006543958,0.140198227,0.042039394,0.026163521,0.324325787,0.17569599,0.017893843,0.013616081,2.20E-05,0.016282747,6.04E-04
5,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-06-05-the_nature_of_the_word_of_god.txt,0.144120374,0.00555262,0.161178431,0.008435213,0.007857125,0.01327903,0.008795064,0.00857862,0.192762241,0.001827814,0.150396669,0.013695378,0.020685387,0.113423409,0.115357553,0.003038682,0.019523273,0.005121761,5.29E-04,0.005842607
6,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-07-06-the_knowability_of_the_word_of_god.txt,0.115313036,6.76E-04,0.166596643,7.55E-04,1.55E-05,0.012271846,0.001639009,0.011289534,0.372733384,0.004229246,0.12402393,0.024559529,0.005121503,0.051904772,0.102141119,1.74E-05,0.00422617,1.40E-05,0.002162251,3.10E-04
7,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-08-07-the_word_of_god_dogma_and_dogmatics.txt,0.216229603,0.014059475,0.03249297,2.76E-05,1.36E-04,6.42E-05,2.52E-04,0.001262269,0.08404561,0.007346059,0.17200407,0.001163481,0.008818631,0.4283175,0.022060251,0.001823572,0.008239891,2.13E-05,0.001611649,2.35E-05
8,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-09-08-god_in_his_revelation.txt,0.174427498,0.00184781,0.068865394,0.014068418,0.014327098,3.12E-04,6.32E-04,0.004121501,0.053509616,0.00116963,0.145656202,0.0341455,0.016360563,0.085288053,0.35531208,0.015114602,0.013555277,1.66E-05,0.001251958,1.83E-05
9,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-10-09-the_triunity_of_god.txt,0.136385907,2.23E-05,0.016505689,3.06E-05,2.62E-05,1.96E-04,4.05E-04,0.007390498,0.0252387,0.003543844,0.10946778,0.10970716,6.88E-04,0.053213075,0.513805438,0.015873745,0.003164361,2.37E-05,0.001166405,0.003145075
10,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-11-10-god_the_father.txt,0.080838261,5.94E-05,0.137045003,4.14E-04,0.020678064,0.038082627,7.47E-04,0.015036878,0.008742231,8.00E-04,0.07958762,0.047651152,0.044379674,0.002835305,0.46515143,0.027666897,0.0300361,6.31E-05,1.16E-04,6.96E-05
