,feature,tfidf,feature,tfidf,feature,tfidf
0,god,0.3689797349629188,god,0.5743159627004322,god,0.32264144646582965
1,church,0.1052109336733009,man,0.21311788162893633,man,0.20533420190220295
2,word,0.09862336740964782,election,0.1899402501497395,jesus,0.08603638255314944
3,note,0.09167575610634424,jesus,0.16070057683721017,christ,0.06490767323786219
4,man,0.0665301695563735,israel,0.14977326977523647,does,0.04691062708283674
5,revelation,0.0639164431659004,christ,0.14209216674625674,note,0.04562266298696263
6,dogmatics,0.037034314102124315,note,0.13180338108257164,jesus christ,0.04510929120271939
7,christ,0.036655798091561435,divine,0.0761477437471063,command,0.03341488914376029
8,word god,0.03499537908454491,jesus christ,0.07115257530380632,world,0.0307168119306785
9,jesus,0.02709510316618366,doctrine,0.06378403420827301,christian,0.026143030381184252
10,father,0.025287183092988927,church,0.060617217766383395,life,0.023598574227671875
11,proclamation,0.0205059780688109,elect,0.03942790086104455,divine,0.022046187683862392
12,son,0.018202818511000335,judas,0.034852390844400546,community,0.021239682609510764
13,spirit,0.017213005465018354,mercy,0.031502756700353095,human,0.01905726624842029
14,holy,0.01623172175035425,predestination,0.03063417492800821,faith,0.016826303205614287
15,knowledge,0.016041325805457966,does,0.02965375737028141,creation,0.01561863618633962
16,love,0.015813291194913898,et,0.028667675109216723,sin,0.014793554994011993
17,scripture,0.015547433641414705,rejected,0.028328449778313523,love,0.01438650868635456
18,bible,0.015120840319666847,grace,0.027288182614038058,time,0.013951428684334556
19,human,0.01479377008949152,faith,0.027181078885864223,history,0.013563764839453853
20,divine,0.014772647873078918,fact,0.027168805635341624,word,0.013453291324337395
21,time,0.01475480507345317,eternal,0.02548763354010283,baptism,0.01341775946189345
22,doctrine,0.013804850379464368,jews,0.025133968342158967,creature,0.01286354535292118
23,faith,0.013726324162172924,express distinction,0.0,fact,0.011690194941472151
24,religion,0.012836529963281799,express instructions,0.0,body,0.010339921952174714
25,neighbour,0.012172981609801016,express mention,0.0,church,0.0100437323065323
26,theology,0.010055337806800447,express conclusion best,0.0,place,0.009974933395171331
27,testament,0.009966200057358758,express intention correcting,0.0,earth,0.00893062390114375
28,trinity,0.009961783119307614,express intention,0.0,ethics,0.008913009163592825
29,knowledge god,0.009511299828537254,express confirmation,0.0,angels,0.008563407934981173
30,god word,0.008659958931943372,express confirmation possession,0.0,woman,0.008507925213321842
31,confession,0.007832708464062267,express confirmation rule,0.0,soul,0.008282024252013822
32,volume,0.007500370596171396,express instructions god,0.0,covenant,0.008167296167349283
33,preaching,0.00746804984099055,express connexion,0.0,grace,0.008103689836001921
34,grace,0.007252127459809029,express mention special,0.0,heaven,0.007683927034464498
35,reality,0.006904651965891821,express ideal picture,0.0,vocation,0.007683021032659597
36,freedom,0.006812984345191321,express connexion person,0.0,law,0.00765939967384136
37,holy spirit,0.006808101517215168,express ideal,0.0,marriage,0.007569491680829433
38,old testament,0.006751189851799703,express direct,0.0,death,0.007361230891059513
39,father son,0.006496163900013159,express divine election,0.0,nothingness,0.007089584708123035
40,perfections,0.006333006339933979,express divine,0.0,hope,0.006804415248890152
41,authority,0.006148066009887032,express direct supervision,0.0,job,0.006473975810675707
42,attributes,0.0059303465339639065,express distinction decretum,0.0,spirit,0.0064077979331549515
43,old,0.005520861280736618,ῥυόμενος note zion,0.0,son,0.006404222891235659
44,veracity,0.005298838204565608,express prohibition,0.0,day,0.006266129300437619
45,prolegomena,0.00516674568869458,express objective,0.0,existence,0.005813275497906292
46,christian religion,0.005165204349003951,express thesis says,0.0,creator,0.005724556669341257
47,commandment,0.005099852241435862,expressed divine,0.0,honour,0.005565541386559781
48,love neighbour,0.005038900699162166,expressed carefully equivocally,0.0,judgment,0.0053568076851830005
49,righteousness,0.004819410879975921,expressed carefully,0.0,soul body,0.005205972315416651
